trip,type,direction,stop|苹果园|0103|0|1|A|1,stop|苹果园|0103|0|1|D|1,stop|古城路|0104|40|1|A|2,stop|古城路|0104|40|1|D|2,stop|八角游乐园|0105|80|1|A|3,stop|八角游乐园|0105|80|1|D|3,stop|八宝山|0106|120|1|A|4,stop|八宝山|0106|120|1|D|4,stop|玉泉路|0107|160|1|A|5,stop|玉泉路|0107|160|1|D|5,stop|五棵松|0108|200|1|A|6,stop|五棵松|0108|200|1|D|6,stop|万寿路|0109|240|1|A|7,stop|万寿路|0109|240|1|D|7,stop|公主坟（1号线）|0110|280|1|A|8,stop|公主坟（1号线）|0110|280|1|D|8,stop|军事博物馆（1号线）|0111|320|1|A|9,stop|军事博物馆（1号线）|0111|320|1|D|9,stop|木樨地|0112|360|1|A|10,stop|木樨地|0112|360|1|D|10,stop|南礼士路|0113|400|1|A|11,stop|南礼士路|0113|400|1|D|11,stop|复兴门（1号线）|0114|440|1|A|12,stop|复兴门（1号线）|0114|440|1|D|12,stop|西单（1号线）|0115|480|1|A|13,stop|西单（1号线）|0115|480|1|D|13,stop|天安门西|0116|520|1|A|14,stop|天安门西|0116|520|1|D|14,stop|天安门东|0117|560|1|A|15,stop|天安门东|0117|560|1|D|15,stop|王府井|0118|600|1|A|16,stop|王府井|0118|600|1|D|16,stop|东单（1号线）|0119|640|1|A|17,stop|东单（1号线）|0119|640|1|D|17,stop|建国门（1号线）|0120|680|1|A|18,stop|建国门（1号线）|0120|680|1|D|18,stop|永安里|0121|720|1|A|19,stop|永安里|0121|720|1|D|19,stop|国贸（1号线）|0122|760|1|A|20,stop|国贸（1号线）|0122|760|1|D|20,stop|大望路|0123|800|1|A|21,stop|大望路|0123|800|1|D|21,stop|四惠（1号线）|0124|840|1|A|22,stop|四惠（1号线）|0124|840|1|D|22,stop|四惠东（1号线）|0125|880|1|A|23,stop|四惠东（1号线）|0125|880|1|D|23
2071,REAL,2,20140702074735,20140702074835,20140702075215,20140702075245,20140702075515,20140702075545,20140702075815,20140702075840,20140702080040,20140702080115,20140702080335,20140702080415,20140702080625,20140702080700,20140702080840,20140702080925,20140702081105,20140702081155,20140702081335,20140702081405,20140702081605,20140702081632,20140702081752,20140702081839,20140702082039,20140702082124,20140702082254,20140702082320,20140702082450,20140702082518,20140702082648,20140702082718,20140702082838,20140702082921,20140702083111,20140702083150,20140702083350,20140702083420,20140702083530,20140702083615,20140702083815,20140702083845,20140702084115,20140702084145,20140702084415,20140702084515
2072,REAL,2,20140702074940,20140702075040,20140702075420,20140702075450,20140702075720,20140702075750,20140702080020,20140702080045,20140702080245,20140702080320,20140702080540,20140702080620,20140702080830,20140702080905,20140702081045,20140702081130,20140702081310,20140702081400,20140702081540,20140702081610,20140702081810,20140702081837,20140702081957,20140702082044,20140702082244,20140702082329,20140702082459,20140702082525,20140702082655,20140702082723,20140702082853,20140702082923,20140702083043,20140702083126,20140702083316,20140702083355,20140702083555,20140702083625,20140702083735,20140702083820,20140702084020,20140702084050,20140702084320,20140702084350,20140702084620,20140702084720
2073,REAL,2,20140702075145,20140702075245,20140702075655,20140702075655,20140702075955,20140702075955,20140702080250,20140702080250,20140702080450,20140702080525,20140702080745,20140702080825,20140702081035,20140702081110,20140702081250,20140702081335,20140702081515,20140702081605,20140702081745,20140702081815,20140702082015,20140702082042,20140702082202,20140702082249,20140702082449,20140702082534,20140702082704,20140702082730,20140702082900,20140702082928,20140702083058,20140702083128,20140702083248,20140702083331,20140702083521,20140702083600,20140702083800,20140702083830,20140702083940,20140702084025,20140702084225,20140702084255,20140702084525,20140702084555,20140702084825,20140702084925
2074,REAL,2,20140702075350,20140702075450,20140702075830,20140702075900,20140702080130,20140702080200,20140702080430,20140702080455,20140702080655,20140702080730,20140702080950,20140702081030,20140702081240,20140702081315,20140702081455,20140702081540,20140702081720,20140702081810,20140702081950,20140702082020,20140702082220,20140702082247,20140702082407,20140702082454,20140702082654,20140702082739,20140702082909,20140702082935,20140702083105,20140702083133,20140702083303,20140702083333,20140702083453,20140702083536,20140702083726,20140702083805,20140702084005,20140702084035,20140702084145,20140702084230,20140702084430,20140702084500,20140702084730,20140702084800,20140702085030,20140702085130
2075,REAL,2,20140702075555,20140702075655,20140702080035,20140702080105,20140702080335,20140702080405,20140702080635,20140702080700,20140702080900,20140702080935,20140702081155,20140702081235,20140702081445,20140702081520,20140702081700,20140702081745,20140702081925,20140702082015,20140702082155,20140702082225,20140702082425,20140702082452,20140702082612,20140702082659,20140702082859,20140702082944,20140702083114,20140702083140,20140702083310,20140702083338,20140702083508,20140702083538,20140702083658,20140702083741,20140702083931,20140702084010,20140702084210,20140702084240,20140702084350,20140702084435,20140702084635,20140702084705,20140702084935,20140702085005,20140702085235,20140702085335
2076,REAL,2,20140702075800,20140702075900,20140702080240,20140702080310,20140702080540,20140702080610,20140702080840,20140702080905,20140702081105,20140702081140,20140702081400,20140702081440,20140702081650,20140702081725,20140702081905,20140702081950,20140702082130,20140702082220,20140702082400,20140702082430,20140702082630,20140702082657,20140702082817,20140702082904,20140702083104,20140702083149,20140702083319,20140702083345,20140702083515,20140702083543,20140702083713,20140702083743,20140702083903,20140702083946,20140702084136,20140702084215,20140702084415,20140702084445,20140702084555,20140702084640,20140702084840,20140702084910,20140702085140,20140702085210,20140702085440,20140702085540
2077,REAL,2,20140702080005,20140702080105,20140702080515,20140702080515,20140702080815,20140702080815,20140702081110,20140702081110,20140702081310,20140702081345,20140702081605,20140702081645,20140702081855,20140702081930,20140702082110,20140702082155,20140702082335,20140702082425,20140702082605,20140702082635,20140702082835,20140702082902,20140702083022,20140702083109,20140702083309,20140702083354,20140702083524,20140702083550,20140702083720,20140702083748,20140702083918,20140702083948,20140702084108,20140702084151,20140702084341,20140702084420,20140702084620,20140702084650,20140702084800,20140702084845,20140702085045,20140702085115,20140702085345,20140702085415,20140702085645,20140702085745
2078,REAL,2,20140702080210,20140702080310,20140702080650,20140702080720,20140702080950,20140702081020,20140702081250,20140702081315,20140702081515,20140702081550,20140702081810,20140702081850,20140702082100,20140702082135,20140702082315,20140702082400,20140702082540,20140702082630,20140702082810,20140702082840,20140702083040,20140702083107,20140702083227,20140702083314,20140702083514,20140702083559,20140702083729,20140702083755,20140702083925,20140702083953,20140702084123,20140702084153,20140702084313,20140702084356,20140702084546,20140702084625,20140702084825,20140702084855,20140702085005,20140702085050,20140702085250,20140702085320,20140702085550,20140702085620,20140702085850,20140702085950
2079,REAL,2,20140702080425,20140702080525,20140702080905,20140702080935,20140702081205,20140702081235,20140702081505,20140702081530,20140702081730,20140702081805,20140702082025,20140702082105,20140702082315,20140702082350,20140702082530,20140702082615,20140702082755,20140702082845,20140702083025,20140702083055,20140702083255,20140702083322,20140702083442,20140702083529,20140702083729,20140702083814,20140702083944,20140702084010,20140702084140,20140702084208,20140702084338,20140702084408,20140702084528,20140702084611,20140702084801,20140702084840,20140702085040,20140702085110,20140702085220,20140702085305,20140702085505,20140702085535,20140702085805,20140702085835,20140702090105,20140702090205
2080,REAL,2,20140702080640,20140702080740,20140702081120,20140702081150,20140702081420,20140702081450,20140702081720,20140702081745,20140702081945,20140702082020,20140702082240,20140702082320,20140702082530,20140702082605,20140702082745,20140702082830,20140702083010,20140702083100,20140702083240,20140702083310,20140702083510,20140702083537,20140702083657,20140702083744,20140702083944,20140702084029,20140702084159,20140702084225,20140702084355,20140702084423,20140702084553,20140702084623,20140702084743,20140702084826,20140702085016,20140702085055,20140702085255,20140702085325,20140702085435,20140702085520,20140702085720,20140702085750,20140702090020,20140702090050,20140702090320,20140702090420
2081,REAL,2,20140702080855,20140702080955,20140702081405,20140702081405,20140702081705,20140702081705,20140702082000,20140702082000,20140702082200,20140702082235,20140702082455,20140702082535,20140702082745,20140702082820,20140702083000,20140702083045,20140702083225,20140702083315,20140702083455,20140702083525,20140702083725,20140702083752,20140702083912,20140702083959,20140702084159,20140702084244,20140702084414,20140702084440,20140702084610,20140702084638,20140702084808,20140702084838,20140702084958,20140702085041,20140702085231,20140702085310,20140702085510,20140702085540,20140702085650,20140702085735,20140702085935,20140702090005,20140702090235,20140702090305,20140702090535,20140702090635
2082,REAL,2,20140702081110,20140702081210,20140702081550,20140702081620,20140702081850,20140702081920,20140702082150,20140702082215,20140702082415,20140702082450,20140702082710,20140702082750,20140702083000,20140702083035,20140702083215,20140702083300,20140702083440,20140702083530,20140702083710,20140702083740,20140702083940,20140702084007,20140702084127,20140702084214,20140702084414,20140702084459,20140702084629,20140702084655,20140702084825,20140702084853,20140702085023,20140702085053,20140702085213,20140702085256,20140702085446,20140702085525,20140702085725,20140702085755,20140702085905,20140702085950,20140702090150,20140702090220,20140702090450,20140702090520,20140702090750,20140702090850
2083,REAL,2,20140702081325,20140702081425,20140702081805,20140702081835,20140702082105,20140702082135,20140702082405,20140702082430,20140702082630,20140702082705,20140702082925,20140702083005,20140702083215,20140702083250,20140702083430,20140702083515,20140702083655,20140702083745,20140702083925,20140702083955,20140702084155,20140702084222,20140702084342,20140702084429,20140702084629,20140702084714,20140702084844,20140702084910,20140702085040,20140702085108,20140702085238,20140702085308,20140702085428,20140702085511,20140702085701,20140702085740,20140702085940,20140702090010,20140702090120,20140702090205,20140702090405,20140702090435,20140702090705,20140702090735,20140702091005,20140702091105
2084,REAL,2,20140702081540,20140702081640,20140702082020,20140702082050,20140702082320,20140702082350,20140702082620,20140702082645,20140702082845,20140702082920,20140702083140,20140702083220,20140702083430,20140702083505,20140702083645,20140702083730,20140702083910,20140702084000,20140702084140,20140702084210,20140702084410,20140702084437,20140702084557,20140702084644,20140702084844,20140702084929,20140702085059,20140702085125,20140702085255,20140702085323,20140702085453,20140702085523,20140702085643,20140702085726,20140702085916,20140702085955,20140702090155,20140702090225,20140702090335,20140702090420,20140702090620,20140702090650,20140702090920,20140702090950,20140702091220,20140702091320
2085,REAL,2,20140702081755,20140702081855,20140702082305,20140702082305,20140702082605,20140702082605,20140702082900,20140702082900,20140702083100,20140702083135,20140702083355,20140702083435,20140702083645,20140702083720,20140702083900,20140702083945,20140702084125,20140702084215,20140702084355,20140702084425,20140702084625,20140702084652,20140702084812,20140702084859,20140702085059,20140702085144,20140702085314,20140702085340,20140702085510,20140702085538,20140702085708,20140702085738,20140702085858,20140702085941,20140702090131,20140702090210,20140702090410,20140702090440,20140702090550,20140702090635,20140702090835,20140702090905,20140702091135,20140702091205,20140702091435,20140702091535
2086,REAL,2,20140702082010,20140702082110,20140702082450,20140702082520,20140702082750,20140702082820,20140702083050,20140702083115,20140702083315,20140702083350,20140702083610,20140702083650,20140702083900,20140702083935,20140702084115,20140702084200,20140702084340,20140702084430,20140702084610,20140702084640,20140702084840,20140702084907,20140702085027,20140702085114,20140702085314,20140702085359,20140702085529,20140702085555,20140702085725,20140702085753,20140702085923,20140702085953,20140702090113,20140702090156,20140702090346,20140702090425,20140702090625,20140702090655,20140702090805,20140702090850,20140702091050,20140702091120,20140702091350,20140702091420,20140702091650,20140702091750
2087,REAL,2,20140702082225,20140702082325,20140702082705,20140702082735,20140702083005,20140702083035,20140702083305,20140702083330,20140702083530,20140702083605,20140702083825,20140702083905,20140702084115,20140702084150,20140702084330,20140702084415,20140702084555,20140702084645,20140702084825,20140702084855,20140702085055,20140702085122,20140702085242,20140702085329,20140702085529,20140702085614,20140702085744,20140702085810,20140702085940,20140702090008,20140702090138,20140702090208,20140702090328,20140702090411,20140702090601,20140702090640,20140702090840,20140702090910,20140702091020,20140702091105,20140702091305,20140702091335,20140702091605,20140702091635,20140702091905,20140702092005
2088,REAL,2,20140702082440,20140702082540,20140702082920,20140702082950,20140702083220,20140702083250,20140702083520,20140702083545,20140702083745,20140702083820,20140702084040,20140702084120,20140702084330,20140702084405,20140702084545,20140702084630,20140702084810,20140702084900,20140702085040,20140702085110,20140702085310,20140702085337,20140702085457,20140702085544,20140702085744,20140702085829,20140702085959,20140702090025,20140702090155,20140702090223,20140702090353,20140702090423,20140702090543,20140702090626,20140702090816,20140702090855,20140702091055,20140702091125,20140702091235,20140702091320,20140702091520,20140702091550,20140702091820,20140702091850,20140702092120,20140702092220
